,postId,time_start_experiment,stim,time_start_exp,time_end_exp,time_diff_exp,ans01,ans02,ans1,ans2,views,time_start_demo,time_end_demo,time_diff_demo,age,sex,degree,monitor,computer,expert,train,cb,time_start_spatial-first,time_end_spatial-first,time_diff_spatial-first,spatial_1,spatial_2,spatial_3,spatial_4,spatial_5,spatial_6,spatial_7,spatial_8,spatial_9,spatial_10,spatialFirst_numCorrect,spatialFirst_numWrong,spatialFirst_numSkipped,time_start_spatial-second,time_end_spatial-second,time_diff_spatial-second,spatial_11,spatial_12,spatial_13,spatial_14,spatial_15,spatial_16,spatial_17,spatial_18,spatial_19,spatial_20,spatialSecond_numCorrect,spatialSecond_numWrong,spatialSecond_numSkipped,time_end_experiment,time_diff_experiment,comments,ans1Corr,ans2Corr,numCorr,bonus,corr,spatialAbility,drop
0,knbtkqdk,1618064080037,worseStatic,1618064097713,1618064245233,147520,true positive,true positive,59,58,,1618064257043,1618064288466,31423,25-39,Female,Bachelors,R,31-40,high-intermediate,5,not_colorblind,1618064300851,1618064477850,176999,a,a,e,d,,,c,b,e,c,3,5,2,1618064521442,1618064702452,181010,b,b,e,e,d,a,e,,,,4,3,3,1618064702531,622494,it was really good,0,0,0,70,0,5.0,0
1,knbtkr8b,1618064082882,middleStatic,1618064176417,1618064231560,55143,true positive,false positive,1,1,,1618064240162,1618064269577,29415,25-39,Male,Bachelors,9 or smaller,11-20,intermediate,2,not_colorblind,1618064279191,1618064310955,31764,b,b,d,d,b,c,c,b,c,,2,7,1,1618064318880,1618064342563,23683,b,c,b,b,c,b,d,b,e,,0,9,1,1618064342569,259687,good,0,0,0,20,0,-2.0,0
2,knbtktts,1618064085351,worseStatic,1618064155754,1618064165925,10171,true positive,true positive,20,50,,1618064169443,1618064188630,19187,25-39,Male,Bachelors,19,21-30,high-intermediate,5,colorblind,1618064194303,1618064206504,12201,d,d,c,c,d,d,d,d,c,c,0,10,0,1618064211678,1618064220810,9132,e,e,d,e,e,e,e,e,d,e,3,7,0,1618064220815,135464,A3JV54EH1LEK4H,0,0,0,30,0,-1.25,0
3,knbtl328,1618064096377,worseStatic,1618064133078,1618064272922,139844,true positive,true positive,50,25,,1618064277709,1618064306812,29103,25-39,Male,Bachelors,15,11-20,high-intermediate,5,not_colorblind,1618064313792,1618064342022,28230,d,c,b,c,e,a,b,c,d,e,3,7,0,1618064345919,1618064367076,21157,c,b,a,b,c,d,e,d,c,b,5,5,0,1618064367083,270706,A1RFECS63DTC3U,0,0,0,80,0,5.0,0
4,knbtl5by,1618064099351,worseStatic,1618064185528,1618064224325,38797,true positive,true positive,80,56,,1618064230834,1618064275258,44424,25-39,Male,Bachelors,17,41-50,high-intermediate,4,not_colorblind,1618064290955,1618064400592,109637,a,b,e,a,a,e,c,e,d,a,2,8,0,1618064403215,1618064464424,61209,c,a,e,c,a,d,a,b,c,b,1,9,0,1618064464428,365077,na,0,1,1,40,0,-1.25,0
5,knbtky3y,1618064090097,betterStatic,1618064121694,1618064477744,356050,false positive,true positive,56,61,,1618064484850,1618064556904,72054,25-39,Female,Bachelors,17,21-30,high-intermediate,R,not_colorblind,1618064569728,1618064645288,75560,e,b,b,a,c,c,a,e,d,a,2,8,0,1618064648949,1618064701334,52385,c,a,,c,a,d,,c,c,e,1,7,2,1618064701341,611244,nice,0,0,0,30,0,-0.75,0
6,knbtkxkx,1618064089279,worseStatic,1618064165156,1618064268915,103759,false positive,false positive,59,100,,1618064278496,1618064312720,34224,25-39,Male,Bachelors,15,21-30,high-intermediate,5,not_colorblind,1618064367392,1618064548390,180998,a,e,,,,,,,,,1,1,8,1618064553438,1618064699914,146476,c,b,a,c,b,d,d,a,d,c,6,4,0,1618064699921,610642,no,0,0,0,70,0,5.75,0
7,knbtkwy0,1618064088355,betterStatic,1618064209250,1618064292842,83592,true positive,true positive,57,56,,1618064303505,1618064326554,23049,25-39,Male,High School,13,R,intermediate,2,not_colorblind,1618064376130,1618064534298,158168,a,d,e,d,,e,d,c,b,d,5,4,1,1618064537311,1618064652066,114755,c,b,a,e,b,e,b,b,b,a,5,5,0,1618064652071,563716,I thought the paper fold task was hard or at least harder then I thought it was going to be. Overall this was a run and interesting study.,1,1,2,120,1,7.75,0
8,knbtlzza,1618064138869,worseStatic,1618064160377,1618064268381,108004,true positive,true positive,19,1,,1618064272420,1618064306260,33840,25-39,Male,Bachelors,13,41-50,intermediate,4,colorblind,1618064314468,1618064419076,104608,c,b,c,c,b,c,b,c,d,c,2,8,0,1618064422807,1618064456564,33757,b,c,c,d,c,b,c,d,c,d,1,9,0,1618064456569,317700,nothing,0,0,0,30,0,-1.25,0
9,knbtl28l,1618064095614,middleStatic,1618064216006,1618064540317,324311,true positive,true positive,57,56,,1618064550055,1618064592324,42269,40-49,Male,High School,23 or larger,31-40,novice,1,not_colorblind,1618064715119,1618064896119,181000,e,d,c,d,b,e,b,a,d,,4,5,1,1618064900348,1618065028110,127762,c,b,a,e,e,b,d,b,b,a,4,6,0,1618065028120,932506,"I would like to know how accurate my answers were with the holes in the folded paper. It was difficult trying to picture how to unfold the papers, there were several reasonable options for each choice.",1,1,2,100,1,5.25,0
