,postId,time_start_experiment,stim,time_start_exp,time_end_exp,time_diff_exp,ans01,ans02,ans1,ans2,views,time_start_demo,time_end_demo,time_diff_demo,age,sex,degree,monitor,computer,expert,train,cb,time_start_spatial-first,time_end_spatial-first,time_diff_spatial-first,spatial_1,spatial_2,spatial_3,spatial_4,spatial_5,spatial_6,spatial_7,spatial_8,spatial_9,spatial_10,spatialFirst_numCorrect,spatialFirst_numWrong,spatialFirst_numSkipped,time_start_spatial-second,time_end_spatial-second,time_diff_spatial-second,spatial_11,spatial_12,spatial_13,spatial_14,spatial_15,spatial_16,spatial_17,spatial_18,spatial_19,spatial_20,spatialSecond_numCorrect,spatialSecond_numWrong,spatialSecond_numSkipped,time_end_experiment,time_diff_experiment,comments,ans1Corr,ans2Corr,numCorr,bonus,corr,spatialAbility,interacted,num_interactions,drop
0,kndjul3t,1618168676970,worseStatic,1618168689344,1618168705604,16260,false positive,false positive,-1,1,"[{'you_test_cb': False, 'you_actual_cb': False}]",1618168716986,1618168753183,36197,25-39,Male,Bachelors,15,51-60,high-intermediate,5,not_colorblind,1618168759662,1618168785917,26255,b,c,c,b,c,b,c,b,c,c,0,10,0,1618168789980,1618168817704,27724,a,b,c,d,c,c,b,c,b,c,2,8,0,1618168817709,140739,good,0,0,0,20,0,-2.5,0,0,0
1,kndjsk1c,1618168581123,middleStatic,1618168660932,1618168795886,134954,false positive,false positive,80,56,"[{'you_test_cb': False, 'you_actual_cb': False}]",1618168801051,1618168829534,28483,25-39,Male,Bachelors,21,41-50,intermediate,4,not_colorblind,1618168853308,1618168874783,21475,c,b,d,c,d,c,d,b,d,c,0,10,0,1618168877202,1618168907318,30116,c,b,a,a,c,b,c,d,d,c,6,4,0,1618168907323,326200,Interesting,0,1,1,70,0,2.5,0,0,0
2,kndjtrmo,1618168637973,betterStatic,1618168658404,1618168686714,28310,true positive,true positive,9,8,"[{'you_test_cb': False, 'you_actual_cb': False}, {'you_test_cb': True, 'you_actual_cb': False}]",1618168690303,1618168719276,28973,40-49,Male,Bachelors,13,31-40,intermediate,5,colorblind,1618168728766,1618168795955,67189,e,b,a,a,d,e,b,a,d,d,1,9,0,1618168799320,1618168856686,57366,c,a,e,c,c,d,b,b,c,d,1,9,0,1618168856695,218722,no comments,0,0,0,20,0,-2.5,1,1,0
3,kndju79a,1618168658815,worseStatic,1618168679489,1618168703715,24226,true positive,true positive,3,6,"[{'you_test_cb': False, 'you_actual_cb': False}]",1618168708333,1618168761239,52906,25-39,Male,Masters,R,lt5,R,R,colorblind,1618168771981,1618168846096,74115,a,b,a,a,,d,c,e,d,a,1,8,1,1618168850383,1618168941718,91335,c,a,a,c,d,d,a,b,d,e,3,7,0,1618168941725,282910,A1K0FWYPIYNTEI,0,0,0,40,0,0.25,0,0,0
4,kndjvot1,1618168728267,worseStatic,1618168770087,1618168836056,65969,true positive,true positive,20,35,"[{'you_test_cb': False, 'you_actual_cb': False}]",1618168843864,1618168863209,19345,25-39,Male,Bachelors,11,6-10,novice,4,not_colorblind,1618168870284,1618168898883,28599,a,a,a,a,e,e,e,e,e,e,4,6,0,1618168904300,1618168925099,20799,d,d,d,d,d,d,d,c,d,d,1,9,0,1618168925104,196837,GOOD SURVEY,0,0,0,50,0,1.25,0,0,0
5,kndjtohf,1618168633486,betterStatic,1618168830336,1618169210600,380264,true positive,true positive,57,56,"[{'you_test_cb': False, 'you_actual_cb': False}, {'you_test_cb': False, 'you_actual_cb': True}, {'you_test_cb': True, 'you_actual_cb': True}]",1618169218022,1618169276845,58823,50-59,Female,Bachelors,19,31-40,intermediate,3,not_colorblind,1618169391699,1618169572702,181003,a,d,,,a,,,,,,2,1,7,1618169576818,1618169757824,181006,c,,a,e,,,e,,,,4,0,6,1618169757826,1124340,I wonder if there was only one question on the Covid-19 task?,1,1,2,80,1,5.75,1,2,0
6,kndjyzgy,1618168882049,middleStatic,1618168912960,1618168951284,38324,true positive,true positive,10,40,"[{'you_test_cb': False, 'you_actual_cb': False}]",1618168973739,1618168998925,25186,25-39,Male,Bachelors,11,6-10,novice,2,not_colorblind,1618169004064,1618169049096,45032,e,e,e,e,e,e,e,e,e,e,3,7,0,1618169052451,1618169065741,13290,e,e,e,e,d,e,e,e,e,e,2,8,0,1618169065746,183697,GOOD SURVEY,0,0,0,50,0,1.25,0,0,0
7,kndjzatf,1618168895629,worseStatic,1618168929566,1618169076362,146796,true negative,true negative,59,1,"[{'you_test_cb': False, 'you_actual_cb': False}]",1618169086209,1618169127532,41323,40-49,Male,Bachelors,R,31-40,intermediate,4,not_colorblind,1618169132860,1618169182152,49292,e,b,e,d,d,d,c,d,c,d,1,9,0,1618169184452,1618169225681,41229,e,e,e,a,c,d,d,c,d,c,2,8,0,1618169225688,330059,good,0,0,0,30,0,-1.25,0,0,0
8,kndjwofc,1618168774373,worseStatic,1618168965793,1618169031715,65922,true positive,true positive,50,0,"[{'you_test_cb': False, 'you_actual_cb': False}]",1618169035566,1618169051712,16146,25-39,Male,Bachelors,19,31-40,intermediate,5,not_colorblind,1618169069888,1618169091956,22068,d,e,c,d,d,e,d,e,e,d,3,7,0,1618169097726,1618169110940,13214,d,e,d,e,e,d,e,e,d,e,3,7,0,1618169110951,336578,good,0,0,0,60,0,2.5,0,0,0
9,kndk3svl,1618169105764,middleStatic,1618169288675,1618169421524,132849,true positive,true positive,57,56,"[{'you_test_cb': False, 'you_actual_cb': False}, {'you_test_cb': False, 'you_actual_cb': True}, {'you_test_cb': False, 'you_actual_cb': False}, {'you_test_cb': True, 'you_actual_cb': False}, {'you_test_cb': False, 'you_actual_cb': False}, {'you_test_cb': True, 'you_actual_cb': False}, {'you_test_cb': False, 'you_actual_cb': False}, {'you_test_cb': True, 'you_actual_cb': False}, {'you_test_cb': True, 'you_actual_cb': True}, {'you_test_cb': False, 'you_actual_cb': True}, {'you_test_cb': True, 'you_actual_cb': True}, {'you_test_cb': False, 'you_actual_cb': True}, {'you_test_cb': False, 'you_actual_cb': False}, {'you_test_cb': False, 'you_actual_cb': True}, {'you_test_cb': True, 'you_actual_cb': True}]",1618169432839,1618169466235,33396,25-39,Female,Bachelors,21,31-40,high-intermediate,4,not_colorblind,1618169568762,1618169754841,186079,a,c,e,d,b,e,a,c,,c,6,3,1,1618169760628,1618169945307,184679,c,b,a,e,b,e,d,a,b,,5,4,1,1618169945318,839554,Check the probability of the folds and determine the hole and selected the correct one,1,1,2,130,1,9.25,1,14,0
